Category,Item Description,Quantity,Unit Cost,Total Cost,Justification
Student Wages,Software Developer - Backend/AI Specialist,140 hours,$15/hour,"$2,100","10 hrs/week x 14 weeks @ $15/hour for LLM implementation and API development"
Student Wages,UI Developer - Frontend/UX Specialist,140 hours,$15/hour,"$2,100","10 hrs/week x 14 weeks @ $15/hour for mobile app and dashboard design"
Student Wages,Project Manager - Faculty Coordination,140 hours,$15/hour,"$2,100","10 hrs/week x 14 weeks @ $15/hour for managing collaboration with Education faculty"
Student Wages,Student Benefits (15%),3 students,$315/student,$945,"Required benefits calculation for all student employees"
Software/Services,GitHub Team Plan,1 year,$600/year,$600,"Code collaboration platform for team development"
Software/Services,Monitoring Tools (Sentry/DataDog),1 year,$600/year,$600,"Application performance monitoring and error tracking"
Software/Services,Development Tools (IDEs/Testing),1 year,$600/year,$600,"Professional development environments and testing frameworks"
Software/Services,Cloud GPU Time for LLM Training,200 hours,$4/hour,$800,"Essential for model fine-tuning without purchasing hardware"
Professional Development,Conference Registration,2 students,$125/each,$250,"Regional education technology conference attendance"
Professional Development,AI/ML Online Training Courses,3 students,$35/each,$105,"Specialized AI/ML skills development courses"
,,,,,"$10,000",Total Budget Request
,,,,,
BUDGET NOTES:,,,,,
"1. We already have a dedicated server from previous projects - no infrastructure costs needed",,,,,
"2. 3 specialized student roles to manage collaboration with multiple Education faculty",,,,,
"3. Software costs are essential for professional development environment",,,,,
"4. GPU time is for training local LLM to reduce long-term operational costs",,,,,
"5. All students limited to 10 hours/week to comply with financial aid regulations",,,,,
,,,,,
COST-BENEFIT ANALYSIS:,,,,,
Current Annual OpenAI API Cost:,,,,"$6,000",
Projected Annual Local LLM Cost:,,,,$600,
API Cost Savings:,,,,"$5,400",
"Faculty Time Saved in Education (400 hrs @ $50/hr):",,,,"$20,000",
"CS Department TA Savings (30% of $70,000):",,,,"$21,000",
Total First Year Benefit:,,,,"$46,400",
Return on Investment (Year 1):,,,,464%,
"CS Department Savings Year 2+ (90% of $70,000):",,,,"$63,000",
Total Annual Benefit (Year 2+):,,,,"$88,400",
Return on Investment (Year 2+):,,,,884%,
,,,,,
NSF GRANT LEVERAGE:,,,,,
GEL Investment:,,,,"$10,000",
NSF IUSE Grant (in preparation):,,,,"$300,000-500,000",
Leverage Multiple:,,,,30-50x,
